username,repo_name,stars,repo_url
arendst,Tasmota,https://github.com//arendst/Tasmota,90100
MarlinFirmware,Marlin,https://github.com//MarlinFirmware/Marlin,90100
arduino,Arduino,https://github.com//arduino/Arduino,90100
rwaldron,johnny-five,https://github.com//rwaldron/johnny-five,90100
tinygo-org,tinygo,https://github.com//tinygo-org/tinygo,90100
SpacehuhnTech,esp8266_deauther,https://github.com//SpacehuhnTech/esp8266_deauther,90100
espressif,arduino-esp32,https://github.com//espressif/arduino-esp32,90100
gurugio,lowlevelprogramming-university,https://github.com//gurugio/lowlevelprogramming-university,90100
hybridgroup,gobot,https://github.com//hybridgroup/gobot,90100
platformio,platformio-core,https://github.com//platformio/platformio-core,90100
bblanchon,ArduinoJson,https://github.com//bblanchon/ArduinoJson,90100
tzapu,WiFiManager,https://github.com//tzapu/WiFiManager,90100
hybridgroup,cylon,https://github.com//hybridgroup/cylon,90100
Arduino-IRremote,Arduino-IRremote,https://github.com//Arduino-IRremote/Arduino-IRremote,90100
arduino,arduino-cli,https://github.com//arduino/arduino-cli,90100
olikraus,u8g2,https://github.com//olikraus/u8g2,90100
blynkkk,blynk-library,https://github.com//blynkkk/blynk-library,90100
ClemensElflein,OpenMower,https://github.com//ClemensElflein/OpenMower,90100
NerdLang,nerd,https://github.com//NerdLang/nerd,90100
Serial-Studio,Serial-Studio,https://github.com//Serial-Studio/Serial-Studio,90100
