username,repo_name,stars,repo_url
Genymobile,scrcpy,https://github.com//Genymobile/scrcpy,90100
neovim,neovim,https://github.com//neovim/neovim,90100
obsproject,obs-studio,https://github.com//obsproject/obs-studio,90100
git,git,https://github.com//git/git,90100
fffaraz,awesome-cpp,https://github.com//fffaraz/awesome-cpp,90100
FFmpeg,FFmpeg,https://github.com//FFmpeg/FFmpeg,90100
serhii-londar,open-source-mac-os-apps,https://github.com//serhii-londar/open-source-mac-os-apps,90100
vim,vim,https://github.com//vim/vim,90100
curl,curl,https://github.com//curl/curl,90100
huihut,interview,https://github.com//huihut/interview,90100
ggreer,the_silver_searcher,https://github.com//ggreer/the_silver_searcher,90100
pbatard,rufus,https://github.com//pbatard/rufus,90100
mpv-player,mpv,https://github.com//mpv-player/mpv,90100
ossrs,srs,https://github.com//ossrs/srs,90100
ruby,ruby,https://github.com//ruby/ruby,90100
google,flatbuffers,https://github.com//google/flatbuffers,90100
oracle,graal,https://github.com//oracle/graal,90100
microsoft,vcpkg,https://github.com//microsoft/vcpkg,90100
kovidgoyal,kitty,https://github.com//kovidgoyal/kitty,90100
radareorg,radare2,https://github.com//radareorg/radare2,90100
