username,repo_name,stars,repo_url
ansible,ansible,https://github.com//ansible/ansible,90100
bregman-arie,devops-exercises,https://github.com//bregman-arie/devops-exercises,90100
trailofbits,algo,https://github.com//trailofbits/algo,90100
StreisandEffect,streisand,https://github.com//StreisandEffect/streisand,90100
MichaelCade,90DaysOfDevOps,https://github.com//MichaelCade/90DaysOfDevOps,90100
kubernetes-sigs,kubespray,https://github.com//kubernetes-sigs/kubespray,90100
ansible,awx,https://github.com//ansible/awx,90100
easzlab,kubeasz,https://github.com//easzlab/kubeasz,90100
geerlingguy,ansible-for-devops,https://github.com//geerlingguy/ansible-for-devops,90100
khuedoan,homelab,https://github.com//khuedoan/homelab,90100
Tikam02,DevOps-Guide,https://github.com//Tikam02/DevOps-Guide,90100
ansible-semaphore,semaphore,https://github.com//ansible-semaphore/semaphore,90100
geerlingguy,mac-dev-playbook,https://github.com//geerlingguy/mac-dev-playbook,90100
rundeck,rundeck,https://github.com//rundeck/rundeck,90100
KubeOperator,KubeOperator,https://github.com//KubeOperator/KubeOperator,90100
clong,DetectionLab,https://github.com//clong/DetectionLab,90100
netbootxyz,netboot.xyz,https://github.com//netbootxyz/netboot.xyz,90100
litmuschaos,litmus,https://github.com//litmuschaos/litmus,90100
ansible-community,molecule,https://github.com//ansible-community/molecule,90100
opendevops-cn,opendevops,https://github.com//opendevops-cn/opendevops,90100
