username,repo_name,stars,repo_url
mrdoob,three.js,https://github.com//mrdoob/three.js,90100
pmndrs,react-three-fiber,https://github.com//pmndrs/react-three-fiber,90100
libgdx,libgdx,https://github.com//libgdx/libgdx,90100
BabylonJS,Babylon.js,https://github.com//BabylonJS/Babylon.js,90100
ssloy,tinyrenderer,https://github.com//ssloy/tinyrenderer,90100
aframevr,aframe,https://github.com//aframevr/aframe,90100
lettier,3d-game-shaders-for-beginners,https://github.com//lettier/3d-game-shaders-for-beginners,90100
FreeCAD,FreeCAD,https://github.com//FreeCAD/FreeCAD,90100
CesiumGS,cesium,https://github.com//CesiumGS/cesium,90100
metafizzy,zdog,https://github.com//metafizzy/zdog,90100
timzhang642,3D-Machine-Learning,https://github.com//timzhang642/3D-Machine-Learning,90100
isl-org,Open3D,https://github.com//isl-org/Open3D,90100
blender,blender,https://github.com//blender/blender,90100
a1studmuffin,SpaceshipGenerator,https://github.com//a1studmuffin/SpaceshipGenerator,90100
domlysz,BlenderGIS,https://github.com//domlysz/BlenderGIS,90100
FyroxEngine,Fyrox,https://github.com//FyroxEngine/Fyrox,90100
openscad,openscad,https://github.com//openscad/openscad,90100
google,model-viewer,https://github.com//google/model-viewer,90100
spritejs,spritejs,https://github.com//spritejs/spritejs,90100
jagenjo,webglstudio.js,https://github.com//jagenjo/webglstudio.js,90100
