username,repo_name,stars,repo_url
jwasham,coding-interview-university,https://github.com//jwasham/coding-interview-university,90100
trekhleb,javascript-algorithms,https://github.com//trekhleb/javascript-algorithms,90100
CyC2018,CS-Notes,https://github.com//CyC2018/CS-Notes,90100
TheAlgorithms,Python,https://github.com//TheAlgorithms/Python,90100
yangshun,tech-interview-handbook,https://github.com//yangshun/tech-interview-handbook,90100
kdn251,interviews,https://github.com//kdn251/interviews,90100
TheAlgorithms,Java,https://github.com//TheAlgorithms/Java,90100
azl397985856,leetcode,https://github.com//azl397985856/leetcode,90100
algorithm-visualizer,algorithm-visualizer,https://github.com//algorithm-visualizer/algorithm-visualizer,90100
youngyangyang04,leetcode-master,https://github.com//youngyangyang04/leetcode-master,90100
halfrost,LeetCode-Go,https://github.com//halfrost/LeetCode-Go,90100
huihut,interview,https://github.com//huihut/interview,90100
donnemartin,interactive-coding-challenges,https://github.com//donnemartin/interactive-coding-challenges,90100
crossoverJie,JCSprout,https://github.com//crossoverJie/JCSprout,90100
TheAlgorithms,JavaScript,https://github.com//TheAlgorithms/JavaScript,90100
TheAlgorithms,C-Plus-Plus,https://github.com//TheAlgorithms/C-Plus-Plus,90100
keon,algorithms,https://github.com//keon/algorithms,90100
trekhleb,homemade-machine-learning,https://github.com//trekhleb/homemade-machine-learning,90100
mxgmn,WaveFunctionCollapse,https://github.com//mxgmn/WaveFunctionCollapse,90100
AtsushiSakai,PythonRobotics,https://github.com//AtsushiSakai/PythonRobotics,90100
