username,repo_name,stars,repo_url
localstack,localstack,https://github.com//localstack/localstack,90100
serverless,serverless,https://github.com//serverless/serverless,90100
bregman-arie,devops-exercises,https://github.com//bregman-arie/devops-exercises,90100
donnemartin,data-science-ipython-notebooks,https://github.com//donnemartin/data-science-ipython-notebooks,90100
pulumi,pulumi,https://github.com//pulumi/pulumi,90100
ramitsurana,awesome-kubernetes,https://github.com//ramitsurana/awesome-kubernetes,90100
kubernetes-sigs,kubespray,https://github.com//kubernetes-sigs/kubespray,90100
aws,aws-cli,https://github.com//aws/aws-cli,90100
serverless-stack,sst,https://github.com//serverless-stack/sst,90100
mozilla,sops,https://github.com//mozilla/sops,90100
donnemartin,awesome-aws,https://github.com//donnemartin/awesome-aws,90100
caprover,caprover,https://github.com//caprover/caprover,90100
apereo,cas,https://github.com//apereo/cas,90100
aws,aws-cdk,https://github.com//aws/aws-cdk,90100
GoogleCloudPlatform,terraformer,https://github.com//GoogleCloudPlatform/terraformer,90100
aws,chalice,https://github.com//aws/chalice,90100
aws-amplify,amplify-js,https://github.com//aws-amplify/amplify-js,90100
aws,serverless-application-model,https://github.com//aws/serverless-application-model,90100
google,go-cloud,https://github.com//google/go-cloud,90100
infracost,infracost,https://github.com//infracost/infracost,90100
