username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,https://github.com//justjavac/free-programming-books-zh_CN,90100
angular,angular,https://github.com//angular/angular,90100
storybookjs,storybook,https://github.com//storybookjs/storybook,90100
leonardomso,33-js-concepts,https://github.com//leonardomso/33-js-concepts,90100
ionic-team,ionic-framework,https://github.com//ionic-team/ionic-framework,90100
prettier,prettier,https://github.com//prettier/prettier,90100
Asabeneh,30-Days-Of-JavaScript,https://github.com//Asabeneh/30-Days-Of-JavaScript,90100
SheetJS,sheetjs,https://github.com//SheetJS/sheetjs,90100
angular,angular-cli,https://github.com//angular/angular-cli,90100
angular,components,https://github.com//angular/components,90100
NativeScript,NativeScript,https://github.com//NativeScript/NativeScript,90100
goldbergyoni,javascript-testing-best-practices,https://github.com//goldbergyoni/javascript-testing-best-practices,90100
jhipster,generator-jhipster,https://github.com//jhipster/generator-jhipster,90100
pubkey,rxdb,https://github.com//pubkey/rxdb,90100
nrwl,nx,https://github.com//nrwl/nx,90100
teambit,bit,https://github.com//teambit/bit,90100
sweetalert2,sweetalert2,https://github.com//sweetalert2/sweetalert2,90100
sudheerj,javascript-interview-questions,https://github.com//sudheerj/javascript-interview-questions,90100
wailsapp,wails,https://github.com//wailsapp/wails,90100
codesandbox,codesandbox-client,https://github.com//codesandbox/codesandbox-client,90100
