username,repo_name,stars,repo_url
sindresorhus,awesome,https://github.com//sindresorhus/awesome,90100
vinta,awesome-python,https://github.com//vinta/awesome-python,90100
awesome-selfhosted,awesome-selfhosted,https://github.com//awesome-selfhosted/awesome-selfhosted,90100
avelino,awesome-go,https://github.com//avelino/awesome-go,90100
trimstray,the-book-of-secret-knowledge,https://github.com//trimstray/the-book-of-secret-knowledge,90100
papers-we-love,papers-we-love,https://github.com//papers-we-love/papers-we-love,90100
521xueweihan,HelloGitHub,https://github.com//521xueweihan/HelloGitHub,90100
Hack-with-Github,Awesome-Hacking,https://github.com//Hack-with-Github/Awesome-Hacking,90100
jaywcjlove,awesome-mac,https://github.com//jaywcjlove/awesome-mac,90100
DopplerHQ,awesome-interview-questions,https://github.com//DopplerHQ/awesome-interview-questions,90100
sindresorhus,awesome-nodejs,https://github.com//sindresorhus/awesome-nodejs,90100
MunGell,awesome-for-beginners,https://github.com//MunGell/awesome-for-beginners,90100
prakhar1989,awesome-courses,https://github.com//prakhar1989/awesome-courses,90100
Solido,awesome-flutter,https://github.com//Solido/awesome-flutter,90100
wasabeef,awesome-android-ui,https://github.com//wasabeef/awesome-android-ui,90100
fffaraz,awesome-cpp,https://github.com//fffaraz/awesome-cpp,90100
binhnguyennus,awesome-scalability,https://github.com//binhnguyennus/awesome-scalability,90100
vsouza,awesome-ios,https://github.com//vsouza/awesome-ios,90100
tiimgreen,github-cheat-sheet,https://github.com//tiimgreen/github-cheat-sheet,90100
dypsilon,frontend-dev-bookmarks,https://github.com//dypsilon/frontend-dev-bookmarks,90100
