username,repo_name,stars,repo_url
bregman-arie,devops-exercises,https://github.com//bregman-arie/devops-exercises,90100
pulumi,pulumi,https://github.com//pulumi/pulumi,90100
microsoft,recommenders,https://github.com//microsoft/recommenders,90100
ramitsurana,awesome-kubernetes,https://github.com//ramitsurana/awesome-kubernetes,90100
Azure,azure-quickstart-templates,https://github.com//Azure/azure-quickstart-templates,90100
mozilla,sops,https://github.com//mozilla/sops,90100
caprover,caprover,https://github.com//caprover/caprover,90100
google,go-cloud,https://github.com//google/go-cloud,90100
microsoft,computervision-recipes,https://github.com//microsoft/computervision-recipes,90100
infracost,infracost,https://github.com//infracost/infracost,90100
prowler-cloud,prowler,https://github.com//prowler-cloud/prowler,90100
microsoft,azuredatastudio,https://github.com//microsoft/azuredatastudio,90100
node-formidable,formidable,https://github.com//node-formidable/formidable,90100
Netflix,metaflow,https://github.com//Netflix/metaflow,90100
midwayjs,midway,https://github.com//midwayjs/midway,90100
thangchung,clean-code-dotnet,https://github.com//thangchung/clean-code-dotnet,90100
aquasecurity,tfsec,https://github.com//aquasecurity/tfsec,90100
budtmo,docker-android,https://github.com//budtmo/docker-android,90100
bridgecrewio,checkov,https://github.com//bridgecrewio/checkov,90100
nccgroup,ScoutSuite,https://github.com//nccgroup/ScoutSuite,90100
