username,repo_name,stars,repo_url
babel,babel,https://github.com//babel/babel,90100
swc-project,swc,https://github.com//swc-project/swc,90100
nylas,nylas-mail,https://github.com//nylas/nylas-mail,90100
electron-react-boilerplate,electron-react-boilerplate,https://github.com//electron-react-boilerplate/electron-react-boilerplate,90100
avajs,ava,https://github.com//avajs/ava,90100
SimulatedGREG,electron-vue,https://github.com//SimulatedGREG/electron-vue,90100
grab,front-end-guide,https://github.com//grab/front-end-guide,90100
jamiebuilds,babel-handbook,https://github.com//jamiebuilds/babel-handbook,90100
grommet,grommet,https://github.com//grommet/grommet,90100
developit,htm,https://github.com//developit/htm,90100
ben-rogerson,twin.macro,https://github.com//ben-rogerson/twin.macro,90100
angular-fullstack,generator-angular-fullstack,https://github.com//angular-fullstack/generator-angular-fullstack,90100
documentationjs,documentation,https://github.com//documentationjs/documentation,90100
insin,nwb,https://github.com//insin/nwb,90100
fkling,astexplorer,https://github.com//fkling/astexplorer,90100
thinkjs,thinkjs,https://github.com//thinkjs/thinkjs,90100
egoist,poi,https://github.com//egoist/poi,90100
transitive-bullshit,create-react-library,https://github.com//transitive-bullshit/create-react-library,90100
duxianwei520,react,https://github.com//duxianwei520/react,90100
babel,babel-loader,https://github.com//babel/babel-loader,90100
