username,repo_name,stars,repo_url
bitcoin,bitcoin,https://github.com//bitcoin/bitcoin,90100
ccxt,ccxt,https://github.com//ccxt/ccxt,90100
freqtrade,freqtrade,https://github.com//freqtrade/freqtrade,90100
HelloZeroNet,ZeroNet,https://github.com//HelloZeroNet/ZeroNet,90100
solana-labs,solana,https://github.com//solana-labs/solana,90100
askmike,gekko,https://github.com//askmike/gekko,90100
bbfamily,abu,https://github.com//bbfamily/abu,90100
dvf,blockchain,https://github.com//dvf/blockchain,90100
lbryio,lbry-sdk,https://github.com//lbryio/lbry-sdk,90100
lightningnetwork,lnd,https://github.com//lightningnetwork/lnd,90100
yeasy,blockchain_guide,https://github.com//yeasy/blockchain_guide,90100
spesmilo,electrum,https://github.com//spesmilo/electrum,90100
butor,blackbird,https://github.com//butor/blackbird,90100
btcsuite,btcd,https://github.com//btcsuite/btcd,90100
bitcoinjs,bitcoinjs-lib,https://github.com//bitcoinjs/bitcoinjs-lib,90100
bitcoinj,bitcoinj,https://github.com//bitcoinj/bitcoinj,90100
jesse-ai,jesse,https://github.com//jesse-ai/jesse,90100
btcpayserver,btcpayserver,https://github.com//btcpayserver/btcpayserver,90100
CryptoSignal,Crypto-Signal,https://github.com//CryptoSignal/Crypto-Signal,90100
bisq-network,bisq,https://github.com//bisq-network/bisq,90100
