username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,https://github.com//iamadamdev/bypass-paywalls-chrome,90100
jaywcjlove,linux-command,https://github.com//jaywcjlove/linux-command,90100
refined-github,refined-github,https://github.com//refined-github/refined-github,90100
darkreader,darkreader,https://github.com//darkreader/darkreader,90100
checkly,headless-recorder,https://github.com//checkly/headless-recorder,90100
unbug,codelf,https://github.com//unbug/codelf,90100
wong2,chatgpt-google-extension,https://github.com//wong2/chatgpt-google-extension,90100
dailydotdev,daily,https://github.com//dailydotdev/daily,90100
yetone,openai-translator,https://github.com//yetone/openai-translator,90100
Anarios,return-youtube-dislike,https://github.com//Anarios/return-youtube-dislike,90100
gildas-lormeau,SingleFile,https://github.com//gildas-lormeau/SingleFile,90100
crimx,ext-saladict,https://github.com//crimx/ext-saladict,90100
listen1,listen1_chrome_extension,https://github.com//listen1/listen1_chrome_extension,90100
appbaseio,dejavu,https://github.com//appbaseio/dejavu,90100
alyssaxuu,screenity,https://github.com//alyssaxuu/screenity,90100
Kenshin,simpread,https://github.com//Kenshin/simpread,90100
ajayyy,SponsorBlock,https://github.com//ajayyy/SponsorBlock,90100
AutomaApp,automa,https://github.com//AutomaApp/automa,90100
alyssaxuu,omni,https://github.com//alyssaxuu/omni,90100
dessant,buster,https://github.com//dessant/buster,90100
