username,repo_name,stars,repo_url
metabase,metabase,https://github.com//metabase/metabase,90100
penpot,penpot,https://github.com//penpot/penpot,90100
logseq,logseq,https://github.com//logseq/logseq,90100
deeplearning4j,deeplearning4j,https://github.com//deeplearning4j/deeplearning4j,90100
LightTable,LightTable,https://github.com//LightTable/LightTable,90100
kanaka,mal,https://github.com//kanaka/mal,90100
lk-geimfari,awesomo,https://github.com//lk-geimfari/awesomo,90100
tonsky,datascript,https://github.com//tonsky/datascript,90100
reagent-project,reagent,https://github.com//reagent-project/reagent,90100
riemann,riemann,https://github.com//riemann/riemann,90100
weavejester,compojure,https://github.com//weavejester/compojure,90100
izhangzhihao,intellij-rainbow-brackets,https://github.com//izhangzhihao/intellij-rainbow-brackets,90100
bbatsov,clojure-style-guide,https://github.com//bbatsov/clojure-style-guide,90100
status-im,status-mobile,https://github.com//status-im/status-mobile,90100
ring-clojure,ring,https://github.com//ring-clojure/ring,90100
clojure-emacs,cider,https://github.com//clojure-emacs/cider,90100
babashka,babashka,https://github.com//babashka/babashka,90100
viebel,klipse,https://github.com//viebel/klipse,90100
tallesl,Rich-Hickey-fanclub,https://github.com//tallesl/Rich-Hickey-fanclub,90100
bhauman,lein-figwheel,https://github.com//bhauman/lein-figwheel,90100
