username,repo_name,stars,repo_url
realm,SwiftLint,https://github.com//realm/SwiftLint,90100
facebook,infer,https://github.com//facebook/infer,90100
analysis-tools-dev,static-analysis,https://github.com//analysis-tools-dev/static-analysis,90100
Kristories,awesome-guidelines,https://github.com//Kristories/awesome-guidelines,90100
checkstyle,checkstyle,https://github.com//checkstyle/checkstyle,90100
SonarSource,sonarqube,https://github.com//SonarSource/sonarqube,90100
facebook,pyre-check,https://github.com//facebook/pyre-check,90100
reviewdog,reviewdog,https://github.com//reviewdog/reviewdog,90100
detekt,detekt,https://github.com//detekt/detekt,90100
import-js,eslint-plugin-import,https://github.com//import-js/eslint-plugin-import,90100
PyCQA,pylint,https://github.com//PyCQA/pylint,90100
simplecov-ruby,simplecov,https://github.com//simplecov-ruby/simplecov,90100
pmd,pmd,https://github.com//pmd/pmd,90100
trekhleb,state-of-the-art-shitcode,https://github.com//trekhleb/state-of-the-art-shitcode,90100
phpro,grumphp,https://github.com//phpro/grumphp,90100
kucherenko,jscpd,https://github.com//kucherenko/jscpd,90100
htmlhint,HTMLHint,https://github.com//htmlhint/HTMLHint,90100
codeclimate,codeclimate,https://github.com//codeclimate/codeclimate,90100
wemake-services,wemake-python-styleguide,https://github.com//wemake-services/wemake-python-styleguide,90100
uber,piranha,https://github.com//uber/piranha,90100
