username,repo_name,stars,repo_url
vercel,next.js,https://github.com//vercel/next.js,90100
rust-lang,rust,https://github.com//rust-lang/rust,90100
sveltejs,svelte,https://github.com//sveltejs/svelte,90100
webpack,webpack,https://github.com//webpack/webpack,90100
gatsbyjs,gatsby,https://github.com//gatsbyjs/gatsby,90100
JetBrains,kotlin,https://github.com//JetBrains/kotlin,90100
parcel-bundler,parcel,https://github.com//parcel-bundler/parcel,90100
babel,babel,https://github.com//babel/babel,90100
evanw,esbuild,https://github.com//evanw/esbuild,90100
vlang,v,https://github.com//vlang/v,90100
carbon-language,carbon-lang,https://github.com//carbon-language/carbon-lang,90100
markedjs,marked,https://github.com//markedjs/marked,90100
swc-project,swc,https://github.com//swc-project/swc,90100
vercel,pkg,https://github.com//vercel/pkg,90100
v8,v8,https://github.com//v8/v8,90100
ziglang,zig,https://github.com//ziglang/zig,90100
AssemblyScript,assemblyscript,https://github.com//AssemblyScript/assemblyscript,90100
nim-lang,Nim,https://github.com//nim-lang/Nim,90100
RustPython,RustPython,https://github.com//RustPython/RustPython,90100
Konloch,bytecode-viewer,https://github.com//Konloch/bytecode-viewer,90100
