username,repo_name,stars,repo_url
localstack,localstack,https://github.com//localstack/localstack,90100
harness,drone,https://github.com//harness/drone,90100
jenkinsci,jenkins,https://github.com//jenkinsci/jenkins,90100
auchenberg,volkswagen,https://github.com//auchenberg/volkswagen,90100
theonedev,onedev,https://github.com//theonedev/onedev,90100
openshift,origin,https://github.com//openshift/origin,90100
dagger,dagger,https://github.com//dagger/dagger,90100
concourse,concourse,https://github.com//concourse/concourse,90100
gocd,gocd,https://github.com//gocd/gocd,90100
gaia-pipeline,gaia,https://github.com//gaia-pipeline/gaia,90100
buildbot,buildbot,https://github.com//buildbot/buildbot,90100
milanm,DevOps-Roadmap,https://github.com//milanm/DevOps-Roadmap,90100
Strider-CD,strider,https://github.com//Strider-CD/strider,90100
jenkins-x,jx,https://github.com//jenkins-x/jx,90100
ovh,cds,https://github.com//ovh/cds,90100
xcpretty,xcpretty,https://github.com//xcpretty/xcpretty,90100
hygieia,hygieia,https://github.com//hygieia/hygieia,90100
iterative,cml,https://github.com//iterative/cml,90100
werf,werf,https://github.com//werf/werf,90100
JamesIves,github-pages-deploy-action,https://github.com//JamesIves/github-pages-deploy-action,90100
