username,repo_name,stars,repo_url
ansible,ansible,90100,https://github.com//ansible/ansible
bregman-arie,devops-exercises,90100,https://github.com//bregman-arie/devops-exercises
trailofbits,algo,90100,https://github.com//trailofbits/algo
StreisandEffect,streisand,90100,https://github.com//StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,90100,https://github.com//MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,90100,https://github.com//kubernetes-sigs/kubespray
ansible,awx,90100,https://github.com//ansible/awx
easzlab,kubeasz,90100,https://github.com//easzlab/kubeasz
geerlingguy,ansible-for-devops,90100,https://github.com//geerlingguy/ansible-for-devops
khuedoan,homelab,90100,https://github.com//khuedoan/homelab
Tikam02,DevOps-Guide,90100,https://github.com//Tikam02/DevOps-Guide
ansible-semaphore,semaphore,90100,https://github.com//ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,90100,https://github.com//geerlingguy/mac-dev-playbook
rundeck,rundeck,90100,https://github.com//rundeck/rundeck
KubeOperator,KubeOperator,90100,https://github.com//KubeOperator/KubeOperator
clong,DetectionLab,90100,https://github.com//clong/DetectionLab
netbootxyz,netboot.xyz,90100,https://github.com//netbootxyz/netboot.xyz
litmuschaos,litmus,90100,https://github.com//litmuschaos/litmus
ansible-community,molecule,90100,https://github.com//ansible-community/molecule
opendevops-cn,opendevops,90100,https://github.com//opendevops-cn/opendevops
