username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,https://github.com//CSSEGISandData/COVID-19,90100
nytimes,covid-19-data,https://github.com//nytimes/covid-19-data,90100
covid19india,covid19india-react,https://github.com//covid19india/covid19india-react,90100
tokyo-metropolitan-gov,covid19,https://github.com//tokyo-metropolitan-gov/covid19,90100
owid,covid-19-data,https://github.com//owid/covid-19-data,90100
pcm-dpc,COVID-19,https://github.com//pcm-dpc/COVID-19,90100
ieee8023,covid-chestxray-dataset,https://github.com//ieee8023/covid-chestxray-dataset,90100
disease-sh,API,https://github.com//disease-sh/API,90100
geohot,corona,https://github.com//geohot/corona,90100
WorldHealthOrganization,app,https://github.com//WorldHealthOrganization/app,90100
corona-warn-app,cwa-server,https://github.com//corona-warn-app/cwa-server,90100
ahmadawais,corona-cli,https://github.com//ahmadawais/corona-cli,90100
github,covid19-dashboard,https://github.com//github/covid19-dashboard,90100
ExpDev07,coronavirus-tracker-api,https://github.com//ExpDev07/coronavirus-tracker-api,90100
soroushchehresa,awesome-coronavirus,https://github.com//soroushchehresa/awesome-coronavirus,90100
mhdhejazi,CoronaTracker,https://github.com//mhdhejazi/CoronaTracker,90100
chandrikadeb7,Face-Mask-Detection,https://github.com//chandrikadeb7/Face-Mask-Detection,90100
neherlab,covid19_scenarios,https://github.com//neherlab/covid19_scenarios,90100
chrismattmann,tika-python,https://github.com//chrismattmann/tika-python,90100
pomber,covid19,https://github.com//pomber/covid19,90100
