username,repo_name,stars,repo_url
electron,electron,https://github.com//electron/electron,90100
puppeteer,puppeteer,https://github.com//puppeteer/puppeteer,90100
microsoft,playwright,https://github.com//microsoft/playwright,90100
FiloSottile,mkcert,https://github.com//FiloSottile/mkcert,90100
iamadamdev,bypass-paywalls-chrome,https://github.com//iamadamdev/bypass-paywalls-chrome,90100
jaywcjlove,linux-command,https://github.com//jaywcjlove/linux-command,90100
ovity,octotree,https://github.com//ovity/octotree,90100
segmentio,nightmare,https://github.com//segmentio/nightmare,90100
checkly,headless-recorder,https://github.com//checkly/headless-recorder,90100
google,WebFundamentals,https://github.com//google/WebFundamentals,90100
prisma-archive,chromeless,https://github.com//prisma-archive/chromeless,90100
GoogleChrome,chrome-extensions-samples,https://github.com//GoogleChrome/chrome-extensions-samples,90100
casesandberg,react-color,https://github.com//casesandberg/react-color,90100
gildas-lormeau,SingleFile,https://github.com//gildas-lormeau/SingleFile,90100
crimx,ext-saladict,https://github.com//crimx/ext-saladict,90100
MetaMask,metamask-extension,https://github.com//MetaMask/metamask-extension,90100
chromedp,chromedp,https://github.com//chromedp/chromedp,90100
uBlock-LLC,uBlock,https://github.com//uBlock-LLC/uBlock,90100
moonD4rk,HackBrowserData,https://github.com//moonD4rk/HackBrowserData,90100
Kenshin,simpread,https://github.com//Kenshin/simpread,90100
