username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,https://github.com//ohmyzsh/ohmyzsh,90100
junegunn,fzf,https://github.com//junegunn/fzf,90100
sharkdp,bat,https://github.com//sharkdp/bat,90100
sherlock-project,sherlock,https://github.com//sherlock-project/sherlock,90100
google,zx,https://github.com//google/zx,90100
BurntSushi,ripgrep,https://github.com//BurntSushi/ripgrep,90100
wagoodman,dive,https://github.com//wagoodman/dive,90100
chubin,cheat.sh,https://github.com//chubin/cheat.sh,90100
jesseduffield,lazygit,https://github.com//jesseduffield/lazygit,90100
cli,cli,https://github.com//cli/cli,90100
spf13,cobra,https://github.com//spf13/cobra,90100
n8n-io,n8n,https://github.com//n8n-io/n8n,90100
alebcay,awesome-shell,https://github.com//alebcay/awesome-shell,90100
httpie,httpie,https://github.com//httpie/httpie,90100
sharkdp,fd,https://github.com//sharkdp/fd,90100
ibraheemdev,modern-unix,https://github.com//ibraheemdev/modern-unix,90100
angular,angular-cli,https://github.com//angular/angular-cli,90100
tqdm,tqdm,https://github.com//tqdm/tqdm,90100
google,python-fire,https://github.com//google/python-fire,90100
vercel,pkg,https://github.com//vercel/pkg,90100
